Group,Identity,Coverage
groupe500,0.757,0.993
groupe500,0.114,0.864
groupe500,0.221,0.917
groupe500,0.456,0.957
groupe500,0.456,0.944
groupe500,1.0,0.986
groupe500,0.277,0.902
groupe500,0.298,0.871
groupe500,0.277,0.902
groupe500,0.277,0.908
groupe500,0.24,0.886
groupe500,0.989,1.0
groupe500,0.24,0.886
groupe500,0.298,0.881
groupe500,0.13,0.824
groupe500,0.951,1.0
groupe500,0.161,0.776
groupe500,0.149,0.87
groupe500,0.169,0.846
groupe500,0.209,0.922
groupe500,0.094,0.855
groupe500,0.19,0.874
groupe500,0.193,0.717
groupe500,0.342,0.854
groupe500,0.161,0.684
groupe500,0.102,0.743
groupe500,0.161,0.758
groupe500,0.126,0.645
groupe500,0.183,0.794
groupe500,0.106,0.737
groupe500,0.976,0.883
groupe500,0.505,0.967
groupe500,0.308,0.969
groupe500,0.093,0.882
groupe500,0.607,0.972
groupe500,0.991,1.0
groupe500,0.598,0.972
groupe500,0.617,0.938
groupe500,0.112,0.836
groupe500,0.128,0.83
groupe500,0.158,0.822
groupe500,0.108,0.903
groupe500,0.144,0.848
groupe500,0.193,0.81
groupe500,0.585,0.962
groupe500,0.188,0.897
groupe500,0.164,0.739
groupe500,0.126,0.701
groupe500,0.161,0.859
groupe500,0.116,0.845
groupe500,0.136,0.77
groupe500,0.166,0.88
groupe500,0.134,0.816
groupe500,0.135,0.689
groupe500,0.731,0.972
groupe500,0.747,0.982
groupe500,0.347,0.941
groupe500,0.769,0.995
groupe500,0.736,0.995
groupe500,0.851,0.818
groupe500,0.785,0.967
groupe500,0.851,0.972
groupe500,0.194,0.917
groupe500,0.178,0.973
groupe500,0.888,0.995
groupe500,0.981,0.986
groupe500,0.229,0.915
groupe500,1.0,1.0
groupe500,0.991,1.0
groupe500,0.206,0.93
groupe500,0.377,0.98
groupe500,0.416,0.958
groupe500,0.425,0.862
groupe500,0.304,0.812
groupe500,0.93,1.0
groupe500,0.164,0.725
groupe500,0.444,0.833
groupe500,0.372,0.949
groupe500,0.257,0.941
groupe500,0.257,0.928
groupe500,0.437,0.952
groupe500,0.973,1.0
groupe500,1.0,1.0
groupe500,0.959,1.0
groupe500,0.27,0.941
groupe500,0.127,0.781
groupe500,0.288,0.685
groupe500,0.988,1.0
groupe500,0.15,0.779
groupe500,0.145,0.779
groupe500,0.864,0.97
groupe500,0.205,0.757
groupe500,1.0,1.0
groupe500,0.177,0.629
groupe500,0.125,0.861
groupe500,0.159,0.836
groupe500,0.279,0.832
groupe500,0.136,0.681
groupe500,0.202,0.641
groupe500,0.267,0.728
groupe500,0.187,0.724
groupe500,0.708,1.0
groupe500,0.188,0.839
groupe500,0.969,1.0
groupe500,0.688,1.0
groupe500,0.198,0.849
groupe500,0.677,1.0
groupe500,0.958,1.0
groupe500,0.583,0.974
groupe500,0.183,0.807
groupe500,0.194,0.838
groupe500,0.324,0.977
groupe500,0.179,0.897
groupe500,0.183,0.905
groupe500,0.245,0.917
groupe500,0.146,0.856
groupe500,0.844,0.749
groupe500,0.174,0.636
groupe500,0.994,1.0
groupe500,0.736,0.992
groupe500,0.756,0.995
groupe500,0.621,0.752
groupe500,0.561,0.96
groupe500,1.0,1.0
groupe500,0.286,0.889
groupe500,0.267,0.935
groupe500,0.286,0.889
groupe500,0.286,0.889
groupe500,0.167,0.921
groupe500,0.318,0.907
groupe500,0.425,0.944
groupe500,0.245,0.898
groupe500,0.333,0.88
groupe500,0.22,0.69
groupe500,0.39,0.852
groupe500,0.277,0.732
groupe500,0.394,0.82
groupe500,0.303,0.843
groupe500,0.23,0.815
groupe500,0.726,1.0
groupe500,0.847,1.0
groupe500,0.269,0.873
groupe500,0.241,0.934
groupe500,0.26,0.975
groupe500,0.623,0.994
groupe500,0.731,1.0
groupe500,0.102,0.808
groupe500,0.16,0.898
groupe500,0.161,0.672
groupe500,0.14,0.848
groupe500,0.179,0.724
groupe500,0.195,0.796
groupe500,0.468,0.909
groupe500,0.381,0.886
groupe500,1.0,1.0
groupe500,0.197,0.809
groupe500,0.295,0.811
groupe500,0.9,0.997
groupe500,0.204,0.81
groupe500,0.367,0.885
groupe500,0.392,0.891
groupe500,0.618,0.975
groupe500,0.188,0.825
groupe500,0.133,0.838
groupe500,0.103,0.737
groupe500,0.176,0.748
groupe500,0.138,0.785
groupe500,0.171,0.849
groupe500,0.17,0.576
groupe500,0.269,0.967
groupe500,0.146,0.798
groupe500,0.289,0.926
groupe500,0.21,0.825
groupe500,0.197,0.86
groupe500,0.229,0.842
groupe500,0.549,0.994
groupe500,0.463,0.958
groupe500,0.274,0.907
groupe500,0.871,0.997
groupe500,0.877,0.997
groupe500,0.627,0.978
groupe500,0.877,0.997
groupe500,0.165,0.829
groupe500,0.2,0.845
groupe500,0.26,0.857
groupe500,0.875,0.98
groupe500,0.208,0.825
groupe500,0.635,0.995
groupe500,0.98,1.0
groupe500,0.913,0.994
groupe500,0.994,0.996
groupe500,0.521,0.872
groupe500,0.55,0.571
groupe500,0.583,0.947
groupe500,0.529,0.956
groupe500,0.718,0.98
groupe500,0.399,0.808
groupe500,0.595,0.983
groupe500,0.991,1.0
groupe500,0.345,0.848
groupe500,0.267,0.687
groupe500,0.241,0.705
groupe500,0.664,1.0
groupe500,1.0,1.0
groupe500,0.256,0.925
groupe500,0.182,0.937
groupe500,0.126,0.901
groupe500,0.202,0.926
groupe500,0.1,0.874
groupe500,0.262,0.95
groupe500,0.162,0.898
groupe500,0.12,0.825
groupe500,0.116,0.879
groupe500,0.24,0.927
groupe500,0.228,0.899
groupe500,0.182,0.92
groupe500,0.107,0.881
groupe500,0.673,0.987
groupe500,0.464,0.894
groupe500,0.659,0.858
groupe500,0.156,0.874
groupe500,0.864,0.944
groupe500,0.364,0.824
groupe500,0.659,0.944
groupe500,0.464,0.894
groupe500,0.161,0.773
groupe500,0.35,0.837
groupe500,1.0,1.0
groupe500,0.161,0.773
groupe500,0.25,0.839
groupe500,0.141,0.717
groupe500,0.156,0.785
groupe500,0.225,0.948
groupe500,0.867,0.989
groupe500,0.964,0.998
groupe500,0.881,0.993
groupe500,0.973,1.0
groupe500,0.841,1.0
groupe500,0.858,1.0
groupe500,0.148,0.805
groupe500,0.128,0.723
groupe500,0.767,1.0
groupe500,0.13,0.76
groupe500,0.134,0.794
groupe500,0.188,0.901
groupe500,0.263,0.884
groupe500,1.0,1.0
groupe500,0.202,0.891
groupe500,0.093,0.758
groupe500,0.143,0.859
groupe500,0.157,0.78
groupe500,0.019,0.316
groupe500,0.88,0.92
groupe500,0.86,1.0
groupe500,0.0,0.3
groupe500,0.021,0.289
groupe500,0.28,0.544
groupe500,0.118,0.359
groupe500,0.06,0.347
groupe500,0.549,1.0
groupe500,0.989,1.0
groupe500,0.989,1.0
groupe500,1.0,1.0
groupe500,0.56,0.989
groupe500,0.429,1.0
groupe500,1.0,1.0
groupe500,0.319,0.978
groupe500,0.934,0.995
groupe500,0.989,1.0
groupe500,0.714,1.0
groupe500,0.725,1.0
groupe500,0.989,1.0
groupe500,0.129,0.863
groupe500,0.272,0.824
groupe500,0.16,0.784
groupe500,0.13,0.725
groupe500,0.144,0.75
groupe500,0.117,0.783
groupe500,0.144,0.778
groupe500,0.298,0.942
groupe500,0.783,0.992
groupe500,1.0,1.0
groupe500,0.966,1.0
groupe500,0.126,0.87
groupe500,0.139,0.884
groupe500,1.0,1.0
groupe500,0.338,0.94
groupe500,0.92,0.929
groupe500,0.28,0.858
groupe500,0.198,0.781
groupe500,0.301,0.912
groupe500,0.145,0.815
groupe500,0.119,0.716
groupe500,0.182,0.863
groupe500,0.19,0.906
groupe500,0.146,0.707
groupe500,0.705,0.987
groupe500,0.114,0.703
groupe500,0.234,0.919
groupe500,0.162,0.809
groupe500,0.168,0.736
groupe500,0.112,0.756
groupe500,0.138,0.841
groupe500,0.217,0.753
groupe500,0.126,0.852
groupe500,0.179,0.785
groupe500,0.142,0.831
groupe500,0.324,0.747
groupe500,0.183,0.817
groupe500,0.262,0.878
groupe500,0.186,0.751
groupe500,0.357,0.787
groupe500,0.746,1.0
groupe500,0.143,0.751
groupe500,0.214,0.896
groupe500,0.385,0.956
groupe500,0.259,0.903
groupe500,0.155,0.816
groupe500,0.285,0.889
groupe500,0.929,1.0
groupe500,0.95,1.0
groupe500,0.835,1.0
groupe500,0.184,0.943
groupe500,0.965,1.0
groupe500,0.176,0.943
groupe500,0.72,0.947
groupe500,0.215,0.828
groupe500,0.191,0.791
groupe500,0.243,0.783
groupe500,0.206,0.789
groupe500,1.0,1.0
groupe500,0.22,0.805
groupe500,0.167,0.745
groupe500,0.149,0.719
groupe500,0.186,0.851
groupe500,0.194,0.818
groupe500,0.169,0.835
groupe500,0.19,0.83
groupe500,0.269,0.838
groupe500,0.447,0.771
groupe500,0.346,0.962
groupe500,0.348,0.962
groupe500,0.307,0.95
groupe500,0.98,1.0
groupe500,1.0,1.0
groupe500,0.135,0.83
groupe500,0.118,0.861
groupe500,0.169,0.83
groupe500,0.427,0.954
groupe500,0.0,0.0
groupe500,0.781,1.0
groupe500,0.103,0.591
groupe500,0.198,0.691
groupe500,0.1,0.609
groupe500,0.367,0.815
groupe500,0.149,0.656
groupe500,0.155,0.639
groupe500,0.308,0.992
groupe500,0.433,0.986
groupe500,0.291,0.972
groupe500,0.339,0.969
groupe500,0.366,0.964
groupe500,0.335,0.976
groupe500,0.684,0.998
groupe500,0.156,0.895
groupe500,1.0,1.0
groupe500,0.141,0.844
groupe500,0.244,0.749
groupe500,0.23,0.754
groupe500,0.32,0.938
groupe500,0.279,0.861
groupe500,0.23,0.826
groupe500,0.223,0.828
groupe500,0.25,0.871
groupe500,0.641,0.992
groupe500,0.195,0.794
groupe500,0.414,0.962
groupe500,0.406,0.933
groupe500,0.961,0.993
groupe500,0.408,0.96
groupe500,0.743,0.955
groupe500,0.337,0.914
groupe500,0.695,0.961
groupe500,0.966,1.0
groupe500,0.964,1.0
groupe500,0.224,0.77
groupe500,0.228,0.921
groupe500,0.149,0.718
groupe500,0.18,0.806
groupe500,0.162,0.616
groupe500,0.205,0.828
groupe500,0.972,1.0
groupe500,0.669,0.951
groupe500,0.586,0.943
groupe500,0.972,1.0
groupe500,0.202,0.79
groupe500,0.364,0.762
groupe500,0.507,0.737
groupe500,0.367,0.86
groupe500,0.151,0.667
groupe500,0.314,0.91
groupe500,1.0,1.0
groupe500,0.989,1.0
groupe500,0.771,0.99
groupe500,1.0,0.935
groupe500,0.989,1.0
groupe500,0.387,0.974
groupe500,0.978,1.0
groupe500,0.147,0.913
groupe500,0.142,0.957
groupe500,0.132,0.917
groupe500,0.157,0.886
groupe500,0.144,0.937
groupe500,0.57,0.996
groupe500,0.18,0.898
groupe500,0.245,0.917
groupe500,0.29,0.804
groupe500,0.997,1.0
groupe500,0.16,0.918
groupe500,0.162,0.899
groupe500,0.522,1.0
groupe500,0.507,0.979
groupe500,0.571,0.949
groupe500,0.986,1.0
groupe500,0.513,0.783
groupe500,0.487,0.8
groupe500,0.338,0.985
groupe500,0.205,0.905
groupe500,0.118,0.902
groupe500,0.074,0.887
groupe500,0.244,0.942
groupe500,0.106,0.936
groupe500,0.114,0.894
groupe500,0.228,0.872
groupe500,0.321,0.911
groupe500,0.993,0.996
groupe500,0.219,0.846
groupe500,0.197,0.868
groupe500,0.504,0.996
groupe500,0.354,0.745
groupe500,0.716,0.861
groupe500,0.343,0.898
groupe500,0.365,0.881
groupe500,0.948,0.831
groupe500,0.736,1.0
groupe500,0.274,0.954
groupe500,0.952,0.994
groupe500,0.279,0.907
groupe500,0.279,0.907
groupe500,0.276,0.955
groupe500,0.949,0.994
groupe500,0.279,0.958
groupe500,0.264,0.95
groupe500,0.264,0.937
groupe500,0.119,0.835
groupe500,0.299,0.949
groupe500,0.47,0.978
groupe500,0.158,0.773
groupe500,0.144,0.808
groupe500,0.874,0.97
groupe500,0.163,0.756
groupe500,0.977,0.985
groupe500,0.991,0.998
groupe500,0.154,0.951
groupe500,0.098,0.96
groupe500,0.975,1.0
groupe500,0.178,0.971
groupe500,0.153,0.971
groupe500,0.145,0.966
groupe500,0.135,0.805
groupe500,0.121,0.693
groupe500,0.123,0.765
groupe500,0.119,0.806
groupe500,0.224,0.78
groupe500,0.171,0.835
groupe500,0.155,0.882
groupe500,0.177,0.843
groupe500,0.142,0.876
groupe500,0.138,0.873
groupe500,0.172,0.838
groupe500,0.189,0.842
groupe500,0.218,0.886
groupe500,0.712,0.993
groupe500,0.129,0.826
groupe500,1.0,1.0
groupe500,0.321,0.976
groupe500,0.228,0.836
groupe500,0.429,0.97
groupe500,0.312,0.928
groupe500,0.39,0.97
groupe500,0.234,0.943
groupe500,0.364,0.974
groupe500,0.234,0.968
groupe500,0.244,0.755
groupe500,0.219,0.795
groupe500,0.355,0.896
groupe500,0.709,0.978
groupe500,0.346,0.85
groupe500,0.522,0.986
groupe500,0.724,1.0
groupe500,0.989,1.0
groupe500,0.204,0.845
groupe500,0.878,0.995
groupe500,0.457,0.995
groupe500,0.143,0.829
groupe500,0.133,0.639
groupe500,0.164,0.704
groupe500,0.111,0.739
groupe500,0.104,0.658
groupe500,0.232,0.83
groupe500,0.13,0.746
groupe500,0.591,1.0
groupe500,0.135,0.791
groupe500,0.472,0.931
groupe500,0.497,0.971
groupe500,0.948,1.0
groupe500,0.433,0.912
groupe500,0.166,0.881
groupe500,0.078,0.803
groupe500,0.268,0.922
groupe500,0.182,0.861
groupe500,0.253,0.917
groupe500,0.162,0.851
groupe500,0.213,0.942
groupe500,0.1,0.727
groupe500,0.121,0.844
groupe500,0.268,0.93
groupe500,0.281,0.942
groupe500,0.213,0.947
groupe500,0.174,0.907
groupe500,0.9,0.904
groupe500,0.525,0.984
groupe500,0.25,0.782
groupe500,0.157,0.846
groupe500,0.114,0.735
groupe500,0.127,0.79
groupe500,1.0,1.0
groupe500,0.116,0.734
groupe500,0.119,0.754
groupe500,0.997,0.994
groupe500,0.233,0.875
groupe500,0.62,0.992
groupe500,0.446,0.989
groupe500,0.195,0.894
groupe500,0.202,0.816
groupe500,0.228,0.898
groupe500,0.159,0.873
groupe500,0.261,0.931
groupe500,0.181,0.889
groupe500,0.333,0.912
groupe500,0.17,0.899
groupe500,0.196,0.881
groupe500,0.148,0.811
groupe500,0.133,0.772
groupe500,0.132,0.775
groupe500,0.171,0.858
groupe500,0.111,0.704
groupe500,0.116,0.464
groupe500,0.525,0.768
groupe500,0.136,0.519
groupe500,0.5,0.98
groupe500,0.146,0.527
groupe500,1.0,1.0
groupe500,0.99,1.0
groupe500,0.118,0.861
groupe500,0.191,0.774
groupe500,0.508,0.982
groupe500,0.17,0.787
groupe500,0.185,0.933
groupe500,0.245,0.97
groupe500,0.222,0.919
groupe500,0.239,0.837
groupe500,0.269,0.919
groupe500,0.176,0.945
groupe500,0.992,1.0
groupe500,0.397,0.958
groupe500,0.186,0.768
groupe500,0.983,1.0
groupe500,1.0,1.0
groupe500,0.17,0.829
groupe500,0.33,0.853
groupe500,0.27,0.98
groupe500,0.11,0.688
groupe500,0.161,0.792
groupe500,0.098,0.803
groupe500,0.205,0.868
groupe500,0.151,0.759
groupe500,0.176,0.813
groupe500,0.107,0.83
groupe500,0.129,0.766
groupe500,0.972,1.0
groupe500,0.662,0.995
groupe500,0.67,0.993
groupe500,0.261,0.894
groupe500,0.271,0.851
groupe500,0.326,0.936
groupe500,0.182,0.89
groupe500,0.245,0.873
groupe500,0.194,0.845
groupe500,0.214,0.82
groupe500,1.0,1.0
groupe500,1.0,1.0
groupe500,0.224,0.847
groupe500,0.209,0.843
groupe500,0.116,0.808
groupe500,0.152,0.808
groupe500,0.133,0.843
groupe500,0.164,0.932
groupe500,0.375,0.961
groupe500,0.516,0.995
groupe500,0.847,0.801
groupe500,0.58,0.996
groupe500,0.993,1.0
groupe500,0.22,0.704
groupe500,0.203,0.704
groupe500,0.216,0.848
groupe500,0.698,1.0
groupe500,0.996,1.0
groupe500,0.105,0.687
groupe500,0.994,0.997
groupe500,0.151,0.71
groupe500,0.119,0.7
groupe500,0.409,0.977
groupe500,0.519,0.945
groupe500,0.562,0.951
groupe500,0.359,0.917
groupe500,0.998,1.0
groupe500,0.145,0.862
groupe500,0.352,0.91
groupe500,0.1,0.85
groupe500,0.106,0.91
groupe500,0.116,0.839
groupe500,0.426,0.996
groupe500,0.185,0.929
groupe500,0.141,0.723
groupe500,0.261,0.839
groupe500,0.152,0.897
groupe500,0.174,0.846
groupe500,0.28,0.565
groupe500,0.609,0.942
groupe500,0.383,0.9
groupe500,0.378,0.9
groupe500,0.122,0.581
groupe500,0.128,0.77
groupe500,0.15,0.728
groupe500,0.312,0.956
groupe500,0.289,0.983
groupe500,0.255,0.91
groupe500,0.253,0.962
groupe500,0.301,0.956
groupe500,0.269,0.952
groupe500,0.449,0.946
groupe500,0.525,0.844
groupe500,0.393,0.847
groupe500,0.699,0.879
groupe500,0.489,0.969
groupe500,0.234,0.928
groupe500,0.131,0.832
groupe500,0.194,0.806
groupe500,0.199,0.799
groupe500,1.0,1.0
groupe500,0.267,0.719
groupe500,0.161,0.735
groupe500,0.17,0.793
groupe500,0.234,0.893
groupe500,0.218,0.781
groupe500,0.216,0.798
groupe500,0.686,0.998
groupe500,0.123,0.537
groupe500,0.459,0.885
groupe500,0.149,0.77
groupe500,0.616,0.717
groupe500,0.193,0.813
groupe500,0.189,0.864
groupe500,0.174,0.804
groupe500,0.256,0.867
groupe500,0.151,0.76
groupe500,0.221,0.958
groupe500,0.257,0.96
groupe500,0.248,0.966
groupe500,0.315,0.963
groupe500,0.612,0.993
groupe500,0.243,0.956
groupe500,0.323,0.922
groupe500,0.298,0.912
groupe500,1.0,1.0
groupe500,0.546,0.976
groupe500,0.308,0.9
groupe300,0.25,0.831
groupe300,0.147,0.817
groupe300,0.995,1.0
groupe300,0.551,0.974
groupe300,0.255,0.727
groupe300,0.179,0.807
groupe300,0.338,0.903
groupe300,0.453,0.932
groupe300,0.189,0.892
groupe300,0.312,0.891
groupe300,0.231,0.902
groupe300,0.496,0.938
groupe300,0.468,0.939
groupe300,0.23,0.798
groupe300,0.174,0.832
groupe300,0.275,0.773
groupe300,0.53,0.977
groupe300,0.198,0.832
groupe300,1.0,1.0
groupe300,0.441,0.959
groupe300,0.217,0.911
groupe300,0.109,0.947
groupe300,0.268,0.938
groupe300,0.073,0.949
groupe300,0.089,0.833
groupe300,0.135,0.645
groupe300,0.609,0.989
groupe300,0.272,0.759
groupe300,0.707,1.0
groupe300,0.609,0.989
groupe300,0.177,0.656
groupe300,0.5,0.953
groupe300,0.205,0.832
groupe300,0.107,0.759
groupe300,0.132,0.77
groupe300,0.422,0.94
groupe300,0.442,0.93
groupe300,0.521,1.0
groupe300,0.218,0.963
groupe300,0.204,0.917
groupe300,0.232,0.92
groupe300,0.993,1.0
groupe300,0.178,0.927
groupe300,0.255,0.969
groupe300,0.2,0.792
groupe300,0.428,0.918
groupe300,0.269,0.818
groupe300,0.179,0.933
groupe300,0.207,0.732
groupe300,0.832,0.987
groupe300,0.141,0.798
groupe300,0.409,0.968
groupe300,0.117,0.747
groupe300,0.144,0.802
groupe300,0.091,0.762
groupe300,0.476,0.971
groupe300,0.532,0.916
groupe300,0.57,0.914
groupe300,0.256,0.814
groupe300,0.576,0.916
groupe300,0.212,0.779
groupe300,0.241,0.815
groupe300,0.994,1.0
groupe300,0.994,1.0
groupe300,0.892,1.0
groupe300,0.843,0.994
groupe300,0.994,0.994
groupe300,0.994,0.994
groupe300,0.174,0.675
groupe300,0.976,0.994
groupe300,0.356,0.575
groupe300,0.282,0.923
groupe300,0.318,0.919
groupe300,0.372,0.915
groupe300,0.223,0.779
groupe300,0.615,0.959
groupe300,0.513,0.98
groupe300,0.616,0.982
groupe300,1.0,1.0
groupe300,0.248,0.788
groupe300,0.225,0.732
groupe300,0.14,0.92
groupe300,0.168,0.847
groupe300,0.2,0.913
groupe300,0.13,0.856
groupe300,0.969,1.0
groupe300,0.257,0.915
groupe300,0.638,0.979
groupe300,0.16,0.812
groupe300,0.52,0.924
groupe300,0.065,0.475
groupe300,0.215,0.796
groupe300,0.201,0.873
groupe300,0.675,0.988
groupe300,0.193,0.813
groupe300,0.255,0.876
groupe300,0.142,0.737
groupe300,0.109,0.843
groupe300,0.964,1.0
groupe300,0.518,0.974
groupe300,0.978,0.999
groupe300,0.193,0.901
groupe300,0.611,0.999
groupe300,0.62,0.943
groupe300,0.229,0.947
groupe300,0.915,0.993
groupe300,0.529,0.964
groupe300,0.745,0.986
groupe300,0.793,0.99
groupe300,0.769,0.966
groupe300,0.533,0.905
groupe300,0.572,0.974
groupe300,0.575,0.98
groupe300,0.234,0.926
groupe300,0.863,1.0
groupe300,0.562,0.974
groupe300,0.638,0.993
groupe300,0.233,0.716
groupe300,0.144,0.699
groupe300,0.183,0.792
groupe300,0.133,0.667
groupe300,0.119,0.638
groupe300,0.195,0.815
groupe300,0.142,0.718
groupe300,0.084,0.643
groupe300,0.612,0.769
groupe300,0.171,0.755
groupe300,0.538,0.929
groupe300,0.096,0.596
groupe300,0.092,0.621
groupe300,0.38,0.921
groupe300,0.167,0.749
groupe300,0.638,0.972
groupe300,0.199,0.779
groupe300,0.276,0.86
groupe300,0.165,0.8
groupe300,0.211,0.857
groupe300,0.135,0.828
groupe300,0.155,0.821
groupe300,0.123,0.627
groupe300,0.339,0.97
groupe300,0.132,0.802
groupe300,0.134,0.865
groupe300,0.22,0.862
groupe300,0.175,0.93
groupe300,0.12,0.766
groupe300,0.142,0.897
groupe300,0.16,0.918
groupe300,0.997,1.0
groupe300,0.636,0.96
groupe300,0.138,0.809
groupe300,0.153,0.717
groupe300,0.197,0.782
groupe300,0.18,0.765
groupe300,0.188,0.551
groupe300,0.316,0.672
groupe300,0.4,0.719
groupe300,0.092,0.511
groupe300,0.259,0.601
groupe300,0.442,0.685
groupe300,0.933,0.929
groupe300,0.326,0.829
groupe300,0.922,0.925
groupe300,0.922,0.925
groupe300,0.941,0.864
groupe300,0.304,0.951
groupe300,1.0,1.0
groupe300,1.0,1.0
groupe300,0.992,1.0
groupe300,0.946,1.0
groupe300,0.2,0.76
groupe300,0.935,1.0
groupe300,0.369,0.923
groupe300,0.201,0.908
groupe300,0.281,0.972
groupe300,0.215,0.912
groupe300,0.321,0.964
groupe300,0.209,0.945
groupe300,0.16,0.915
groupe300,0.241,0.85
groupe300,0.181,0.883
groupe300,0.217,0.834
groupe300,0.217,0.92
groupe300,0.204,0.918
groupe300,0.209,0.847
groupe300,0.495,0.976
groupe300,0.157,0.854
groupe300,0.275,0.913
groupe300,0.189,0.828
groupe300,0.198,0.853
groupe300,0.522,0.986
groupe300,0.281,0.878
groupe300,0.475,0.987
groupe300,0.967,0.999
groupe300,0.478,0.986
groupe300,0.373,0.965
groupe300,0.26,0.806
groupe300,0.275,0.806
groupe300,0.517,0.959
groupe300,0.951,1.0
groupe300,0.913,1.0
groupe300,0.27,0.806
groupe300,1.0,1.0
groupe300,0.95,1.0
groupe300,0.925,1.0
groupe300,0.875,1.0
groupe300,0.887,1.0
groupe300,0.912,1.0
groupe300,1.0,1.0
groupe300,0.857,1.0
groupe300,0.99,1.0
groupe300,1.0,1.0
groupe300,0.98,1.0
groupe300,0.907,0.975
groupe300,0.907,0.975
groupe300,0.915,0.985
groupe300,1.0,0.961
groupe300,0.989,0.926
groupe300,0.938,0.975
groupe300,0.748,1.0
groupe300,0.868,1.0
groupe300,0.431,0.96
groupe300,0.149,0.924
groupe300,0.271,0.942
groupe300,0.3,0.942
groupe300,0.724,0.998
groupe300,0.343,0.927
groupe300,1.0,1.0
groupe300,0.35,0.929
groupe300,0.563,0.993
groupe300,0.343,0.93
groupe300,0.96,0.935
groupe300,0.96,1.0
groupe300,0.99,1.0
groupe300,0.242,0.883
groupe300,0.183,0.874
groupe300,0.99,1.0
groupe300,0.214,0.939
groupe300,0.135,0.877
groupe300,0.094,0.885
groupe300,0.513,0.826
groupe300,0.116,0.812
groupe300,0.889,0.995
groupe300,0.909,0.995
groupe300,1.0,1.0
groupe300,0.919,0.995
groupe300,0.919,0.995
groupe300,0.929,0.995
groupe300,0.878,1.0
groupe300,0.951,0.988
groupe300,0.939,0.994
groupe300,0.846,0.976
groupe300,0.854,0.988
groupe300,0.976,1.0
groupe300,0.095,0.823
groupe300,0.767,0.993
groupe300,0.129,0.842
groupe300,0.128,0.802
groupe300,0.12,0.846
groupe300,0.102,0.853
groupe300,0.629,0.968
groupe300,0.656,0.978
groupe300,0.548,0.968
groupe300,0.219,0.759
groupe300,0.891,1.0
groupe300,0.314,0.938
groupe300,0.335,0.917
groupe300,0.991,1.0
groupe300,0.321,0.914
groupe300,0.69,0.998
groupe300,0.145,0.959
groupe300,0.989,1.0
groupe300,0.992,0.992
groupe300,0.232,0.735
groupe300,0.096,0.592
groupe300,0.314,0.786
groupe300,0.97,0.974
groupe300,0.142,0.629
groupe300,0.378,0.844
groupe300,0.182,0.672
groupe300,0.434,0.656
groupe300,1.0,1.0
groupe300,0.433,0.961
groupe300,0.4,0.961
groupe300,0.422,0.961
groupe300,1.0,0.974
groupe300,0.422,0.961
groupe300,0.822,1.0
groupe300,1.0,1.0
groupe300,0.844,0.992
groupe300,1.0,0.931
groupe300,1.0,1.0
groupe300,0.859,0.992
groupe300,1.0,0.931
groupe300,0.157,0.809
groupe300,0.227,0.906
groupe300,0.23,0.906
groupe300,0.154,0.866
groupe300,0.301,0.93
groupe300,0.086,0.705
groupe300,0.256,0.686
groupe300,0.072,0.72
groupe300,0.139,0.713
groupe300,0.623,0.978
groupe300,0.103,0.658
groupe300,0.991,1.0
groupe300,0.925,0.977
groupe300,0.5,0.962
groupe300,0.934,0.977
groupe300,0.96,1.0
groupe300,0.66,0.948
groupe300,0.269,0.845
groupe300,0.595,0.9
groupe300,0.682,0.941
groupe300,0.984,0.873
groupe300,0.982,1.0
groupe300,0.912,1.0
groupe300,0.838,1.0
groupe300,0.926,1.0
groupe300,0.912,1.0
groupe300,0.603,0.928
groupe300,0.52,0.868
groupe300,0.172,0.902
groupe300,0.943,1.0
groupe300,0.37,0.963
groupe300,0.111,0.712
groupe300,0.147,0.907
groupe300,0.178,0.898
groupe300,0.09,0.865
groupe300,0.222,0.919
groupe300,0.184,0.887
groupe300,0.154,0.873
groupe300,0.182,0.927
groupe300,0.216,0.741
groupe300,0.306,0.896
groupe300,0.203,0.644
groupe300,0.475,0.929
groupe300,0.598,1.0
groupe300,0.116,0.941
groupe300,0.495,0.977
groupe300,0.211,0.943
groupe300,0.181,0.966
groupe300,0.174,0.922
groupe300,0.729,0.995
groupe300,0.17,0.929
groupe300,0.958,0.943
groupe300,0.156,0.917
groupe300,0.17,0.897
groupe300,0.137,0.719
groupe300,0.107,0.805
groupe300,0.255,0.875
groupe300,0.925,0.997
groupe300,0.106,0.752
groupe300,0.093,0.815
groupe300,0.246,0.964
groupe300,0.325,0.923
groupe300,0.361,0.94
groupe300,1.0,1.0
groupe300,0.952,1.0
groupe300,0.747,0.929
groupe300,0.247,0.95
groupe300,0.207,0.826
groupe300,0.173,0.722
groupe300,0.191,0.786
groupe300,0.192,0.882
groupe300,0.233,0.933
groupe300,1.0,1.0
groupe300,0.766,0.879
groupe300,0.212,0.868
groupe300,1.0,1.0
groupe300,0.396,0.798
groupe300,0.643,1.0
groupe300,0.964,1.0
groupe300,0.964,1.0
groupe300,0.964,1.0
groupe300,0.661,1.0
groupe300,0.982,1.0
groupe300,0.368,0.871
groupe300,0.217,0.916
groupe300,0.762,0.923
groupe300,0.709,0.947
groupe300,1.0,1.0
groupe300,0.7,0.907
groupe300,0.184,0.831
groupe300,0.148,0.877
groupe300,0.111,0.881
groupe300,0.307,0.847
groupe300,0.154,0.637
